January 2021 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,3.19,-1.91,30,5.1
AL-003,Baldwin County,Alabama,2.87,-1.92,28,4.79
AL-005,Barbour County,Alabama,5.34,0.63,90,4.71
AL-007,Bibb County,Alabama,4.2,-1.28,44,5.48
AL-009,Blount County,Alabama,3.94,-1.56,37,5.5
AL-011,Bullock County,Alabama,3.92,-0.82,56,4.74
AL-013,Butler County,Alabama,3.83,-1.2,48,5.03
AL-015,Calhoun County,Alabama,3.19,-2.04,29,5.23
AL-017,Chambers County,Alabama,3.04,-1.91,30,4.95
AL-019,Cherokee County,Alabama,4.15,-1.14,45,5.29
AL-021,Chilton County,Alabama,3.74,-1.55,43,5.29
AL-023,Choctaw County,Alabama,3.46,-2.1,32,5.56
AL-025,Clarke County,Alabama,3.9,-1.42,40,5.32
AL-027,Clay County,Alabama,3.7,-1.73,38,5.43
AL-029,Cleburne County,Alabama,3.98,-1.31,41,5.29
AL-031,Coffee County,Alabama,4.9,-0.06,77,4.96
AL-033,Colbert County,Alabama,3.21,-2.03,32,5.24
AL-035,Conecuh County,Alabama,4.39,-0.75,57,5.14
AL-037,Coosa County,Alabama,4.02,-1.25,46,5.27
AL-039,Covington County,Alabama,4.5,-0.59,61,5.09
AL-041,Crenshaw County,Alabama,3.99,-1.04,51,5.03
AL-043,Cullman County,Alabama,3.61,-1.94,34,5.55
AL-045,Dale County,Alabama,5.08,0.31,85,4.77
AL-047,Dallas County,Alabama,3.03,-1.94,27,4.97
AL-049,DeKalb County,Alabama,3.81,-1.65,36,5.46
AL-051,Elmore County,Alabama,2.76,-2.29,23,5.05
AL-053,Escambia County,Alabama,4.34,-0.76,55,5.1
AL-055,Etowah County,Alabama,3.88,-1.54,37,5.42
AL-057,Fayette County,Alabama,4.7,-0.93,54,5.63
AL-059,Franklin County,Alabama,2.88,-2.46,26,5.34
AL-061,Geneva County,Alabama,5.42,0.46,88,4.96
AL-063,Greene County,Alabama,3.7,-1.62,33,5.32
AL-065,Hale County,Alabama,3.48,-1.82,31,5.3
AL-067,Henry County,Alabama,5.43,0.62,92,4.81
AL-069,Houston County,Alabama,4.45,-0.3,68,4.75
AL-071,Jackson County,Alabama,3.65,-1.59,40,5.24
AL-073,Jefferson County,Alabama,3.63,-1.83,31,5.46
AL-075,Lamar County,Alabama,4.6,-0.81,58,5.41
AL-077,Lauderdale County,Alabama,3.39,-1.9,37,5.29
AL-079,Lawrence County,Alabama,2.89,-2.2,26,5.09
AL-081,Lee County,Alabama,3.69,-1.02,46,4.71
AL-083,Limestone County,Alabama,2.81,-2.32,24,5.13
AL-085,Lowndes County,Alabama,2.94,-1.89,31,4.83
AL-087,Macon County,Alabama,3.07,-1.65,36,4.72
AL-089,Madison County,Alabama,3.01,-2.21,25,5.22
AL-091,Marengo County,Alabama,3.24,-2.03,24,5.27
AL-093,Marion County,Alabama,3.63,-1.85,34,5.48
AL-095,Marshall County,Alabama,3.55,-1.86,33,5.41
AL-097,Mobile County,Alabama,2.21,-2.75,12,4.96
AL-099,Monroe County,Alabama,4.21,-0.94,53,5.15
AL-101,Montgomery County,Alabama,2.97,-1.8,33,4.77
AL-103,Morgan County,Alabama,2.86,-2.35,24,5.21
AL-105,Perry County,Alabama,3.18,-2.05,26,5.23
AL-107,Pickens County,Alabama,4.44,-0.9,53,5.34
AL-109,Pike County,Alabama,4.17,-0.73,61,4.9
AL-111,Randolph County,Alabama,3.29,-1.96,32,5.25
AL-113,Russell County,Alabama,4.71,0.13,76,4.58
AL-115,St. Clair County,Alabama,3.93,-1.51,35,5.44
AL-117,Shelby County,Alabama,4.12,-1.17,46,5.29
AL-119,Sumter County,Alabama,3.24,-2.14,24,5.38
AL-121,Talladega County,Alabama,3.87,-1.3,45,5.17
AL-123,Tallapoosa County,Alabama,3.16,-2,31,5.16
AL-125,Tuscaloosa County,Alabama,4.19,-1.31,43,5.5
AL-127,Walker County,Alabama,3.92,-1.77,36,5.69
AL-129,Washington County,Alabama,3.88,-1.48,40,5.36
AL-131,Wilcox County,Alabama,3.37,-1.66,32,5.03
AL-133,Winston County,Alabama,3.38,-2.16,31,5.54
AZ-001,Apache County,Arizona,0.93,-0.09,71,1.02
AZ-003,Cochise County,Arizona,1.12,0.1,81,1.02
AZ-005,Coconino County,Arizona,1.35,0.14,85,1.21
AZ-007,Gila County,Arizona,2.67,0.47,84,2.2
AZ-009,Graham County,Arizona,1.23,-0.06,75,1.29
AZ-011,Greenlee County,Arizona,1.15,-0.22,68,1.37
AZ-012,La Paz County,Arizona,1.21,0.54,104,0.67
AZ-013,Maricopa County,Arizona,1.11,0.1,81,1.01
AZ-015,Mohave County,Arizona,0.85,-0.3,64,1.15
AZ-017,Navajo County,Arizona,0.88,-0.08,72,0.96
AZ-019,Pima County,Arizona,1.51,0.55,103,0.96
AZ-021,Pinal County,Arizona,1.38,0.19,83,1.19
AZ-023,Santa Cruz County,Arizona,1.88,0.59,97,1.29
AZ-025,Yavapai County,Arizona,2.25,0.6,93,1.65
AZ-027,Yuma County,Arizona,1.53,0.95,117,0.58
AR-001,Arkansas County,Arkansas,3.34,-1.4,48,4.74
AR-003,Ashley County,Arkansas,3.51,-1.59,40,5.1
AR-005,Baxter County,Arkansas,3.11,0.26,79,2.85
AR-007,Benton County,Arkansas,3.58,1.11,101,2.47
AR-009,Boone County,Arkansas,2.89,0.22,81,2.67
AR-011,Bradley County,Arkansas,4.53,-0.36,70,4.89
AR-013,Calhoun County,Arkansas,5.22,0.46,82,4.76
AR-015,Carroll County,Arkansas,3.12,0.52,89,2.6
AR-017,Chicot County,Arkansas,3.59,-1.57,44,5.16
AR-019,Clark County,Arkansas,7.29,2.95,114,4.34
AR-021,Clay County,Arkansas,3.4,-0.71,64,4.11
AR-023,Cleburne County,Arkansas,3.73,-0.26,67,3.99
AR-025,Cleveland County,Arkansas,4.39,-0.38,68,4.77
AR-027,Columbia County,Arkansas,6.21,1.59,103,4.62
AR-029,Conway County,Arkansas,3.91,0.18,72,3.73
AR-031,Craighead County,Arkansas,3.72,-0.6,64,4.32
AR-033,Crawford County,Arkansas,3.35,0.42,86,2.93
AR-035,Crittenden County,Arkansas,3.63,-0.99,55,4.62
AR-037,Cross County,Arkansas,2.98,-1.57,46,4.55
AR-039,Dallas County,Arkansas,5.7,1.09,94,4.61
AR-041,Desha County,Arkansas,3.83,-1.01,59,4.84
AR-043,Drew County,Arkansas,4.16,-0.76,59,4.92
AR-045,Faulkner County,Arkansas,3.46,-0.62,63,4.08
AR-047,Franklin County,Arkansas,4.08,1.01,98,3.07
AR-049,Fulton County,Arkansas,2.72,-0.48,63,3.2
AR-051,Garland County,Arkansas,4.97,0.78,86,4.19
AR-053,Grant County,Arkansas,3.53,-1.05,56,4.58
AR-055,Greene County,Arkansas,3.61,-0.56,65,4.17
AR-057,Hempstead County,Arkansas,6.33,2.16,110,4.17
AR-059,Hot Spring County,Arkansas,5.45,1.05,93,4.4
AR-061,Howard County,Arkansas,6.44,2.52,111,3.92
AR-063,Independence County,Arkansas,3.74,-0.27,66,4.01
AR-065,Izard County,Arkansas,3.02,-0.37,63,3.39
AR-067,Jackson County,Arkansas,3.45,-0.86,61,4.31
AR-069,Jefferson County,Arkansas,3.55,-1.13,56,4.68
AR-071,Johnson County,Arkansas,3.77,0.43,80,3.34
AR-073,Lafayette County,Arkansas,6.69,2.25,108,4.44
AR-075,Lawrence County,Arkansas,3.33,-0.65,63,3.98
AR-077,Lee County,Arkansas,3.45,-1.26,47,4.71
AR-079,Lincoln County,Arkansas,4.13,-0.63,67,4.76
AR-081,Little River County,Arkansas,6.04,2.33,113,3.71
AR-083,Logan County,Arkansas,3.3,0.05,73,3.25
AR-085,Lonoke County,Arkansas,3.19,-1.28,53,4.47
AR-087,Madison County,Arkansas,3.21,0.32,83,2.89
AR-089,Marion County,Arkansas,2.94,0.21,77,2.73
AR-091,Miller County,Arkansas,6.46,2.3,111,4.16
AR-093,Mississippi County,Arkansas,3.35,-1.12,53,4.47
AR-095,Monroe County,Arkansas,2.96,-1.65,43,4.61
AR-097,Montgomery County,Arkansas,6.11,2.18,108,3.93
AR-099,Nevada County,Arkansas,6.33,1.95,103,4.38
AR-101,Newton County,Arkansas,3.08,-0.07,74,3.15
AR-103,Ouachita County,Arkansas,5.75,1.18,94,4.57
AR-105,Perry County,Arkansas,4.24,0.41,80,3.83
AR-107,Phillips County,Arkansas,3.11,-1.67,38,4.78
AR-109,Pike County,Arkansas,7.04,2.92,112,4.12
AR-111,Poinsett County,Arkansas,3.55,-0.91,58,4.46
AR-113,Polk County,Arkansas,6.12,2.36,107,3.76
AR-115,Pope County,Arkansas,3.97,0.4,82,3.57
AR-117,Prairie County,Arkansas,2.93,-1.57,45,4.5
AR-119,Pulaski County,Arkansas,3.35,-1,60,4.35
AR-121,Randolph County,Arkansas,3.51,-0.33,69,3.84
AR-123,St. Francis County,Arkansas,3.11,-1.51,47,4.62
AR-125,Saline County,Arkansas,4.8,0.42,80,4.38
AR-127,Scott County,Arkansas,4.77,1.38,99,3.39
AR-129,Searcy County,Arkansas,2.89,-0.21,65,3.1
AR-131,Sebastian County,Arkansas,3.46,0.52,88,2.94
AR-133,Sevier County,Arkansas,6.85,3.17,116,3.68
AR-135,Sharp County,Arkansas,2.89,-0.79,59,3.68
AR-137,Stone County,Arkansas,3.36,-0.16,70,3.52
AR-139,Union County,Arkansas,4.62,-0.25,66,4.87
AR-141,Van Buren County,Arkansas,3.74,0.03,72,3.71
AR-143,Washington County,Arkansas,2.9,0.11,79,2.79
AR-145,White County,Arkansas,3.45,-0.92,61,4.37
AR-147,Woodruff County,Arkansas,2.87,-1.59,44,4.46
AR-149,Yell County,Arkansas,4.27,0.73,93,3.54
CA-001,Alameda County,California,3.15,-0.82,62,3.97
CA-003,Alpine County,California,6.12,-0.48,77,6.6
CA-005,Amador County,California,6.55,-0.15,79,6.7
CA-007,Butte County,California,5.03,-3.7,40,8.73
CA-009,Calaveras County,California,7.38,0.72,84,6.66
CA-011,Colusa County,California,2.93,-1.53,45,4.46
CA-013,Contra Costa County,California,2.54,-1.55,44,4.09
CA-015,Del Norte County,California,19.43,5.53,107,13.9
CA-017,El Dorado County,California,6.35,-2.08,58,8.43
CA-019,Fresno County,California,3.97,0.22,83,3.75
CA-021,Glenn County,California,3.4,-1.76,48,5.16
CA-023,Humboldt County,California,11.38,-0.28,67,11.66
CA-025,Imperial County,California,1.24,0.71,114,0.53
CA-027,Inyo County,California,0.66,-0.37,57,1.03
CA-029,Kern County,California,1.27,-0.49,57,1.76
CA-031,Kings County,California,2.36,0.83,101,1.53
CA-033,Lake County,California,6.07,-2.98,47,9.05
CA-035,Lassen County,California,2.64,-0.69,68,3.33
CA-037,Los Angeles County,California,2.01,-1.28,59,3.29
CA-039,Madera County,California,4.19,-0.25,75,4.44
CA-041,Marin County,California,4.1,-3.69,39,7.79
CA-043,Mariposa County,California,5.03,-1.34,62,6.37
CA-045,Mendocino County,California,7.81,-2.66,53,10.47
CA-047,Merced County,California,3.52,1.26,107,2.26
CA-049,Modoc County,California,1.6,-1.1,41,2.7
CA-051,Mono County,California,2.42,-0.22,77,2.64
CA-053,Monterey County,California,7.68,3.29,112,4.39
CA-055,Napa County,California,4.3,-2.57,49,6.87
CA-057,Nevada County,California,6.71,-2.9,57,9.61
CA-059,Orange County,California,1.87,-0.99,63,2.86
CA-061,Placer County,California,5.65,-3.06,54,8.71
CA-063,Plumas County,California,4.82,-2.94,49,7.76
CA-065,Riverside County,California,1.32,-0.22,75,1.54
CA-067,Sacramento County,California,2.85,-1.05,51,3.9
CA-069,San Benito County,California,5.66,2.21,110,3.45
CA-071,San Bernardino County,California,0.85,-0.32,65,1.17
CA-073,San Diego County,California,2.36,-0.38,69,2.74
CA-075,San Francisco County,California,3.2,-2.07,44,5.27
CA-077,San Joaquin County,California,3.06,0.13,76,2.93
CA-079,San Luis Obispo County,California,6.16,2.45,106,3.71
CA-081,San Mateo County,California,3.89,-2.31,46,6.2
CA-083,Santa Barbara County,California,5.63,1.56,102,4.07
CA-085,Santa Clara County,California,4.71,-0.13,72,4.84
CA-087,Santa Cruz County,California,7.42,0.23,81,7.19
CA-089,Shasta County,California,5.55,-2.07,52,7.62
CA-091,Sierra County,California,5.47,-3.1,50,8.57
CA-093,Siskiyou County,California,5.55,-1.19,60,6.74
CA-095,Solano County,California,2.96,-1.41,51,4.37
CA-097,Sonoma County,California,5.44,-3.68,43,9.12
CA-099,Stanislaus County,California,3.81,1.05,96,2.76
CA-101,Sutter County,California,2.19,-1.74,38,3.93
CA-103,Tehama County,California,4.46,-2.4,47,6.86
CA-105,Trinity County,California,9.14,-1.63,60,10.77
CA-107,Tulare County,California,3.06,-1.06,59,4.12
CA-109,Tuolumne County,California,7.48,-0.2,80,7.68
CA-111,Ventura County,California,2.4,-2.04,54,4.44
CA-113,Yolo County,California,3.12,-1.13,55,4.25
CA-115,Yuba County,California,4.48,-2.95,43,7.43
CO-001,Adams County,Colorado,0.29,-0.1,54,0.39
CO-003,Alamosa County,Colorado,0.5,0.08,84,0.42
CO-005,Arapahoe County,Colorado,0.32,-0.1,56,0.42
CO-007,Archuleta County,Colorado,1.7,-0.4,64,2.1
CO-009,Baca County,Colorado,0.47,0.13,89,0.34
CO-011,Bent County,Colorado,0.47,0.16,97,0.31
CO-013,Boulder County,Colorado,0.53,-0.33,35,0.86
CO-014,Broomfield County,Colorado,0.35,-0.06,65,0.41
CO-015,Chaffee County,Colorado,0.63,-0.46,36,1.09
CO-017,Cheyenne County,Colorado,0.25,-0.03,74,0.28
CO-019,Clear Creek County,Colorado,0.74,-0.79,19,1.53
CO-021,Conejos County,Colorado,1.24,0.01,76,1.23
CO-023,Costilla County,Colorado,1.04,0.17,85,0.87
CO-025,Crowley County,Colorado,0.59,0.34,120,0.25
CO-027,Custer County,Colorado,1.06,0.14,83,0.92
CO-029,Delta County,Colorado,0.88,-0.68,40,1.56
CO-031,Denver County,Colorado,0.24,-0.18,39,0.42
CO-033,Dolores County,Colorado,1.55,-0.55,56,2.1
CO-035,Douglas County,Colorado,0.33,-0.25,36,0.58
CO-037,Eagle County,Colorado,0.89,-1.54,14,2.43
CO-039,Elbert County,Colorado,0.46,0.04,76,0.42
CO-041,El Paso County,Colorado,0.55,0.2,107,0.35
CO-043,Fremont County,Colorado,0.48,0.04,75,0.44
CO-045,Garfield County,Colorado,0.95,-1.27,12,2.22
CO-047,Gilpin County,Colorado,0.63,-0.46,32,1.09
CO-049,Grand County,Colorado,0.94,-1.03,19,1.97
CO-051,Gunnison County,Colorado,0.98,-1.15,19,2.13
CO-053,Hinsdale County,Colorado,1.88,-0.7,52,2.58
CO-055,Huerfano County,Colorado,0.8,0.14,87,0.66
CO-057,Jackson County,Colorado,1.31,-0.91,21,2.22
CO-059,Jefferson County,Colorado,0.31,-0.24,34,0.55
CO-061,Kiowa County,Colorado,0.38,0.13,98,0.25
CO-063,Kit Carson County,Colorado,0.34,-0,79,0.34
CO-065,Lake County,Colorado,0.94,-1.18,20,2.12
CO-067,La Plata County,Colorado,1.61,-0.51,57,2.12
CO-069,Larimer County,Colorado,0.69,-0.43,36,1.12
CO-071,Las Animas County,Colorado,0.66,0.19,97,0.47
CO-073,Lincoln County,Colorado,0.42,0.17,101,0.25
CO-075,Logan County,Colorado,0.1,-0.22,26,0.32
CO-077,Mesa County,Colorado,0.87,-0.56,35,1.43
CO-079,Mineral County,Colorado,2.24,-0.41,66,2.65
CO-081,Moffat County,Colorado,0.66,-0.45,34,1.11
CO-083,Montezuma County,Colorado,1.17,-0.33,58,1.5
CO-085,Montrose County,Colorado,0.79,-0.48,44,1.27
CO-087,Morgan County,Colorado,0.13,-0.16,35,0.29
CO-089,Otero County,Colorado,0.7,0.31,107,0.39
CO-091,Ouray County,Colorado,0.82,-0.96,22,1.78
CO-093,Park County,Colorado,0.53,-0.25,35,0.78
CO-095,Phillips County,Colorado,0.34,0.01,77,0.33
CO-097,Pitkin County,Colorado,1.23,-1.67,15,2.9
CO-099,Prowers County,Colorado,0.31,-0.01,82,0.32
CO-101,Pueblo County,Colorado,0.7,0.31,112,0.39
CO-103,Rio Blanco County,Colorado,0.81,-0.82,19,1.63
CO-105,Rio Grande County,Colorado,1.14,0.28,95,0.86
CO-107,Routt County,Colorado,1.6,-1.07,25,2.67
CO-109,Saguache County,Colorado,0.83,-0.19,65,1.02
CO-111,San Juan County,Colorado,3.01,-1.15,55,4.16
CO-113,San Miguel County,Colorado,0.98,-0.59,41,1.57
CO-115,Sedgwick County,Colorado,0.22,-0.12,48,0.34
CO-117,Summit County,Colorado,0.95,-1.39,16,2.34
CO-119,Teller County,Colorado,0.56,-0.08,57,0.64
CO-121,Washington County,Colorado,0.28,-0.06,70,0.34
CO-123,Weld County,Colorado,0.17,-0.13,46,0.3
CO-125,Yuma County,Colorado,0.24,-0.11,56,0.35
CT-001,Fairfield County,Connecticut,1.71,-1.93,10,3.64
CT-003,Hartford County,Connecticut,2.32,-1.32,29,3.64
CT-005,Litchfield County,Connecticut,1.93,-1.74,16,3.67
CT-007,Middlesex County,Connecticut,2.3,-1.57,23,3.87
CT-009,New Haven County,Connecticut,1.74,-2.1,11,3.84
CT-011,New London County,Connecticut,2.43,-1.41,29,3.84
CT-013,Tolland County,Connecticut,2.39,-1.26,29,3.65
CT-015,Windham County,Connecticut,2.4,-1.42,27,3.82
DE-001,Kent County,Delaware,2.17,-1.3,24,3.47
DE-003,New Castle County,Delaware,1.82,-1.6,14,3.42
DE-005,Sussex County,Delaware,2.7,-0.84,39,3.54
FL-001,Alachua County,Florida,1,-2.14,16,3.14
FL-003,Baker County,Florida,2.17,-1.14,46,3.31
FL-005,Bay County,Florida,5.2,0.84,95,4.36
FL-007,Bradford County,Florida,1.37,-1.86,28,3.23
FL-009,Brevard County,Florida,0.32,-2.05,4,2.37
FL-011,Broward County,Florida,0.42,-1.78,9,2.2
FL-013,Calhoun County,Florida,4.77,0.39,82,4.38
FL-015,Charlotte County,Florida,0.37,-1.66,10,2.03
FL-017,Citrus County,Florida,1.03,-1.89,24,2.92
FL-019,Clay County,Florida,1.28,-1.75,29,3.03
FL-021,Collier County,Florida,0.5,-1.3,27,1.8
FL-023,Columbia County,Florida,2.53,-0.88,49,3.41
FL-027,DeSoto County,Florida,0.38,-1.71,13,2.09
FL-029,Dixie County,Florida,1.75,-1.63,33,3.38
FL-031,Duval County,Florida,1.66,-1.28,37,2.94
FL-033,Escambia County,Florida,3.34,-1.41,38,4.75
FL-035,Flagler County,Florida,0.69,-2.02,16,2.71
FL-037,Franklin County,Florida,7.74,3.83,123,3.91
FL-039,Gadsden County,Florida,6.31,1.84,110,4.47
FL-041,Gilchrist County,Florida,1.71,-1.58,37,3.29
FL-043,Glades County,Florida,0.32,-1.58,10,1.9
FL-045,Gulf County,Florida,6.64,2.64,117,4
FL-047,Hamilton County,Florida,2.97,-0.74,54,3.71
FL-049,Hardee County,Florida,0.44,-1.81,17,2.25
FL-051,Hendry County,Florida,0.48,-1.37,22,1.85
FL-053,Hernando County,Florida,0.77,-2.05,18,2.82
FL-055,Highlands County,Florida,0.28,-1.79,5,2.07
FL-057,Hillsborough County,Florida,0.61,-1.89,13,2.5
FL-059,Holmes County,Florida,5.33,0.46,84,4.87
FL-061,Indian River County,Florida,0.17,-2.16,2,2.33
FL-063,Jackson County,Florida,4.04,-0.51,62,4.55
FL-065,Jefferson County,Florida,6.15,1.97,110,4.18
FL-067,Lafayette County,Florida,2.07,-1.48,39,3.55
FL-069,Lake County,Florida,0.8,-1.72,21,2.52
FL-071,Lee County,Florida,0.44,-1.43,19,1.87
FL-073,Leon County,Florida,7.43,3.13,119,4.3
FL-075,Levy County,Florida,1.45,-1.75,26,3.2
FL-077,Liberty County,Florida,5.98,1.75,109,4.23
FL-079,Madison County,Florida,3.3,-0.66,53,3.96
FL-081,Manatee County,Florida,0.6,-1.83,17,2.43
FL-083,Marion County,Florida,0.97,-1.85,23,2.82
FL-085,Martin County,Florida,0.2,-2.21,3,2.41
FL-086,Miami-Dade County,Florida,0.34,-1.64,10,1.98
FL-087,Monroe County,Florida,0.41,-1.41,19,1.82
FL-089,Nassau County,Florida,2.06,-1.03,41,3.09
FL-091,Okaloosa County,Florida,4.34,-0.46,65,4.8
FL-093,Okeechobee County,Florida,0.19,-1.94,3,2.13
FL-095,Orange County,Florida,0.49,-1.82,9,2.31
FL-097,Osceola County,Florida,0.25,-1.99,3,2.24
FL-099,Palm Beach County,Florida,0.34,-2.04,7,2.38
FL-101,Pasco County,Florida,0.6,-2.09,10,2.69
FL-103,Pinellas County,Florida,0.67,-1.93,14,2.6
FL-105,Polk County,Florida,0.34,-2.01,5,2.35
FL-107,Putnam County,Florida,0.74,-2.14,13,2.88
FL-109,St. Johns County,Florida,1.02,-1.81,26,2.83
FL-111,St. Lucie County,Florida,0.15,-2.15,2,2.3
FL-113,Santa Rosa County,Florida,3.88,-0.93,53,4.81
FL-115,Sarasota County,Florida,0.45,-1.92,13,2.37
FL-117,Seminole County,Florida,0.7,-1.64,19,2.34
FL-119,Sumter County,Florida,0.88,-1.82,22,2.7
FL-121,Suwannee County,Florida,2.77,-0.82,49,3.59
FL-123,Taylor County,Florida,2.48,-1.26,41,3.74
FL-125,Union County,Florida,1.84,-1.45,40,3.29
FL-127,Volusia County,Florida,0.71,-1.77,19,2.48
FL-129,Wakulla County,Florida,6.54,2.45,115,4.09
FL-131,Walton County,Florida,4.99,0.16,80,4.83
FL-133,Washington County,Florida,4.93,0.27,84,4.66
GA-001,Appling County,Georgia,4.64,0.92,100,3.72
GA-003,Atkinson County,Georgia,6.32,2.37,115,3.95
GA-005,Bacon County,Georgia,5.27,1.51,106,3.77
GA-007,Baker County,Georgia,6.63,2.07,109,4.56
GA-009,Baldwin County,Georgia,3.58,-0.71,56,4.29
GA-011,Banks County,Georgia,3.74,-1.26,44,5
GA-013,Barrow County,Georgia,4.21,-0.65,56,4.86
GA-015,Bartow County,Georgia,3.36,-1.54,36,4.9
GA-017,Ben Hill County,Georgia,6.75,2.62,115,4.13
GA-019,Berrien County,Georgia,7.58,3.45,119,4.13
GA-021,Bibb County,Georgia,4.08,-0.14,69,4.22
GA-023,Bleckley County,Georgia,5.11,0.77,92,4.34
GA-025,Brantley County,Georgia,4.49,1.11,102,3.38
GA-027,Brooks County,Georgia,8,3.77,120,4.23
GA-029,Bryan County,Georgia,2.93,-0.47,61,3.4
GA-031,Bulloch County,Georgia,4.83,1.19,102,3.64
GA-033,Burke County,Georgia,4.96,1.09,98,3.87
GA-035,Butts County,Georgia,3.1,-1.46,38,4.56
GA-037,Calhoun County,Georgia,5.57,0.85,94,4.72
GA-039,Camden County,Georgia,2.91,-0.27,64,3.18
GA-043,Candler County,Georgia,5.19,1.43,105,3.76
GA-045,Carroll County,Georgia,4.59,-0.54,57,5.13
GA-047,Catoosa County,Georgia,3.29,-1.85,33,5.14
GA-049,Charlton County,Georgia,3.12,-0.16,68,3.28
GA-051,Chatham County,Georgia,2.4,-0.9,48,3.3
GA-053,Chattahoochee County,Georgia,4.61,0.05,77,4.56
GA-055,Chattooga County,Georgia,3.95,-1.45,41,5.4
GA-057,Cherokee County,Georgia,3.36,-1.79,33,5.15
GA-059,Clarke County,Georgia,4.89,0.15,76,4.74
GA-061,Clay County,Georgia,5.57,0.77,92,4.8
GA-063,Clayton County,Georgia,3.7,-0.9,51,4.6
GA-065,Clinch County,Georgia,3.67,0.02,74,3.65
GA-067,Cobb County,Georgia,4.25,-0.58,56,4.83
GA-069,Coffee County,Georgia,6.49,2.46,115,4.03
GA-071,Colquitt County,Georgia,8.65,4.28,123,4.37
GA-073,Columbia County,Georgia,3.82,-0.37,68,4.19
GA-075,Cook County,Georgia,8.37,4.16,124,4.21
GA-077,Coweta County,Georgia,3.45,-1.3,43,4.75
GA-079,Crawford County,Georgia,4.39,0.07,73,4.32
GA-081,Crisp County,Georgia,5.09,0.77,92,4.32
GA-083,Dade County,Georgia,3.9,-1.31,46,5.21
GA-085,Dawson County,Georgia,3.86,-1.9,34,5.76
GA-087,Decatur County,Georgia,6.7,2.2,110,4.5
GA-089,DeKalb County,Georgia,4.1,-0.72,55,4.82
GA-091,Dodge County,Georgia,5.79,1.55,109,4.24
GA-093,Dooly County,Georgia,5.14,0.71,92,4.43
GA-095,Dougherty County,Georgia,5.8,1.3,99,4.5
GA-097,Douglas County,Georgia,4.35,-0.55,58,4.9
GA-099,Early County,Georgia,5.04,0.31,82,4.73
GA-101,Echols County,Georgia,2.91,-0.84,51,3.75
GA-103,Effingham County,Georgia,3.76,0.28,81,3.48
GA-105,Elbert County,Georgia,4.04,-0.51,63,4.55
GA-107,Emanuel County,Georgia,5.49,1.63,106,3.86
GA-109,Evans County,Georgia,3.79,0.2,77,3.59
GA-111,Fannin County,Georgia,4.06,-1.89,36,5.95
GA-113,Fayette County,Georgia,3.46,-1.11,47,4.57
GA-115,Floyd County,Georgia,3.86,-1.21,43,5.07
GA-117,Forsyth County,Georgia,3.46,-1.74,33,5.2
GA-119,Franklin County,Georgia,3.93,-0.79,53,4.72
GA-121,Fulton County,Georgia,4.05,-0.75,55,4.8
GA-123,Gilmer County,Georgia,3.58,-2.64,21,6.22
GA-125,Glascock County,Georgia,4.43,0.18,81,4.25
GA-127,Glynn County,Georgia,2.93,-0.26,64,3.19
GA-129,Gordon County,Georgia,3.14,-1.95,25,5.09
GA-131,Grady County,Georgia,9.03,4.61,127,4.42
GA-133,Greene County,Georgia,4.11,-0.44,68,4.55
GA-135,Gwinnett County,Georgia,3.8,-1.17,45,4.97
GA-137,Habersham County,Georgia,4.27,-1.64,38,5.91
GA-139,Hall County,Georgia,3.88,-1.33,38,5.21
GA-141,Hancock County,Georgia,3.68,-0.71,57,4.39
GA-143,Haralson County,Georgia,4.76,-0.41,61,5.17
GA-145,Harris County,Georgia,4.06,-0.54,64,4.6
GA-147,Hart County,Georgia,4.19,-0.41,59,4.6
GA-149,Heard County,Georgia,3.39,-1.62,36,5.01
GA-151,Henry County,Georgia,3.5,-1.15,47,4.65
GA-153,Houston County,Georgia,5.03,0.65,89,4.38
GA-155,Irwin County,Georgia,7.14,2.98,117,4.16
GA-157,Jackson County,Georgia,4.21,-0.59,54,4.8
GA-159,Jasper County,Georgia,2.92,-1.63,35,4.55
GA-161,Jeff Davis County,Georgia,6.03,2.04,110,3.99
GA-163,Jefferson County,Georgia,4.85,0.81,94,4.04
GA-165,Jenkins County,Georgia,5.24,1.41,100,3.83
GA-167,Johnson County,Georgia,4.84,0.79,95,4.05
GA-169,Jones County,Georgia,3.55,-0.76,57,4.31
GA-171,Lamar County,Georgia,3.4,-1.13,49,4.53
GA-173,Lanier County,Georgia,5.6,1.66,108,3.94
GA-175,Laurens County,Georgia,5.51,1.36,107,4.15
GA-177,Lee County,Georgia,4.76,0.21,84,4.55
GA-179,Liberty County,Georgia,2.55,-0.8,50,3.35
GA-181,Lincoln County,Georgia,3.83,-0.58,61,4.41
GA-183,Long County,Georgia,2.9,-0.52,61,3.42
GA-185,Lowndes County,Georgia,5.24,1.22,103,4.02
GA-187,Lumpkin County,Georgia,4.79,-1.19,47,5.98
GA-189,McDuffie County,Georgia,4.02,-0.31,69,4.33
GA-191,McIntosh County,Georgia,2.2,-1.02,44,3.22
GA-193,Macon County,Georgia,5.11,0.67,90,4.44
GA-195,Madison County,Georgia,4.67,-0,75,4.67
GA-197,Marion County,Georgia,4.46,-0.13,69,4.59
GA-199,Meriwether County,Georgia,3.47,-1.12,46,4.59
